year,return_rate,inflation_rate
2000,-13.3641,4.0094
2001,-15.0489,3.7793
2002,5.3361,4.2972
2003,76.6114,3.8059
2004,13.0355,3.7673
2005,38.6332,4.2463
2006,41.9005,5.7965
2007,56.8048,6.3729
2008,-51.2715,8.3493
2009,77.5908,10.8824
2010,19.2245,11.9894
2011,-23.8079,8.9118
2012,29.4349,9.479
2013,8.0725,10.0179
2014,32.8992,6.6657
2015,-3.0131,4.907
2016,4.3948,4.9482
2017,30.2662,3.3282
2018,4.6382,3.9388
2019,13.4765,3.7295
2020,16.1394,6.6234
2021,25.591,5.1314
2022,5.6914,6.699
2023,21.3002,5.6491
2024,10.0891,4.953
